title,year,numPages,DOI
Learning from Mistakes: Understanding Ad-hoc Logs through Analyzing Accidental Commits.,2025,13,10.1109/MSR66628.2025.00017
Mining StackOverflow to Filter Out Off-Topic IRC Discussion.,2015,4,10.1109/MSR.2015.54
GreenOracle: estimating software energy consumption with energy measurement corpora.,2016,12,10.1145/2901739.2901763
Characterizing energy-aware software projects: are they different?,2016,4,10.1145/2901739.2903494
Evidence is All We Need: Do Self-Admitted Technical Debts Impact Method-Level Maintenance?,2025,13,10.1109/MSR66628.2025.00118
Insights into Dependency Maintenance Trends in the Maven Ecosystem.,2025,5,10.1109/MSR66628.2025.00050
An Empirical Study on Maintainable Method Size in Java.,2022,13,10.1145/3524842.3527975
STRAIT: a tool for automated software reliability growth analysis.,2019,6,10.1109/MSR.2019.00025
Detecting and characterizing developer behavior following opportunistic reuse of code snippets from the web.,2018,4,10.1145/3196398.3196467
An Empirical Study on the Usage of BERT Models for Code Completion.,2021,12,10.1109/MSR52588.2021.00024
To What Extent do Deep Learning-based Code Recommenders Generate Predictions by Cloning Code from the Training Set?,2022,12,10.1145/3524842.3528440
An Empirical Study on the Impact of Deimplicitization on Comprehension in Programs Using Application Frameworks.,2020,4,10.1145/3379597.3387507
An empirical analysis of the docker container ecosystem on GitHub.,2017,11,10.1109/MSR.2017.67
20-MAD: 20 Years of Issues and Commits of Mozilla and Apache Development.,2020,5,10.1145/3379597.3387487
A Historical Analysis of Debian Package Incompatibilities.,2015,12,10.1109/MSR.2015.27
Abnormal working hours: effect of rapid releases and implications to work content.,2017,5,10.1109/MSR.2017.3
Towards automatically identifying paid open source developers.,2018,5,10.1145/3196398.3196447
Technical Debt in the Peer-Review Documentation of R Packages: a rOpenSci Case Study.,2021,12,10.1109/MSR52588.2021.00032
Unveiling Exception Handling Bug Hazards in Android Based on GitHub and Google Code Issues.,2015,12,10.1109/MSR.2015.20
Large-scale analysis of the co-commit patterns of the active developers in github's top repositories.,2018,11,10.1145/3196398.3196436
OSS developers context-specific Preferred Representational systems: A initial Neurolinguistic text analysis of the Apache mailing list.,2010,4,10.1109/MSR.2010.5463339
Leveraging GPT-like LLMs to Automate Issue Labeling.,2024,12,10.1145/3643991.3644903
Embedding Java Classes with code2vec: Improvements from Variable Obfuscation.,2020,11,10.1145/3379597.3387445
Mining social web service repositories for social relationships to aid service discovery.,2017,5,10.1109/MSR.2017.16
JTeC: A Large Collection of Java Test Classes for Test Code Analysis and Processing.,2020,5,10.1145/3379597.3387484
"Findings from GitHub: methods, datasets and limitations.",2016,5,10.1145/2901739.2901776
The impact of switching to a rapid release cycle on the integration delay of addressed issues: an empirical study of the mozilla firefox project.,2016,12,10.1145/2901739.2901764
Noisy Label Learning for Security Defects.,2022,13,10.1145/3524842.3528446
FixJS: A Dataset of Bug-fixing JavaScript Commits.,2022,5,10.1145/3524842.3528480
Sampling Projects in GitHub for MSR Studies.,2021,5,10.1109/MSR52588.2021.00074
Applying the evolution radar to PostgreSQL.,2006,2,10.1145/1137983.1138029
The evolution radar: visualizing integrated logical coupling information.,2006,7,10.1145/1137983.1137992
An extensive comparison of bug prediction approaches.,2010,11,10.1109/MSR.2010.5463279
Interactive exploration of developer interaction traces using a hidden markov model.,2016,11,10.1145/2901739.2901741
Enriching Source Code with Contextual Data for Code Completion Models: An Empirical Study.,2023,13,10.1109/MSR59073.2023.00035
Lessons learned from using a deep tree-based model for software defect prediction in practice.,2019,12,10.1109/MSR.2019.00017
PlayMyData: a curated dataset of multi-platform video games.,2024,5,10.1145/3643991.3644869
A Dataset of Microservices-based Open-Source Projects.,2024,6,10.1145/3643991.3644890
Investigating the Utility of ChatGPT in the Issue Tracking System: An Exploratory Study.,2024,5,10.1145/3643991.3645083
Software bertillonage: finding the provenance of an entity.,2011,10,10.1145/1985441.1985468
Perspectives on bugs in the Debian bug tracking system.,2010,4,10.1109/MSR.2010.5463288
On the impact of security vulnerabilities in the npm package dependency network.,2018,11,10.1145/3196398.3196401
A Public Benchmark of REST APIs.,2025,13,10.1109/MSR66628.2025.00072
Predicting likelihood of requirement implementation within the planned iteration: an empirical study at IBM.,2017,11,10.1109/MSR.2017.53
Quantifying Security Issues in Reusable JavaScript Actions in GitHub Workflows.,2024,12,10.1145/3643991.3644899
Happy birthday! a trend analysis on past MSR papers.,2013,10,10.1109/MSR.2013.6624049
Detecting Privacy-Sensitive Code Changes with Language Modeling.,2022,2,10.1145/3524842.3528518
Analyzing Developer-ChatGPT Conversations for Software Refactoring: An Exploratory Study.,2024,5,10.1145/3643991.3645082
The dispersion of build maintenance activity across maven lifecycle phases.,2016,4,10.1145/2901739.2903498
50 Years of Programming Language Evolution through the Software Heritage looking glass.,2025,12,10.1109/MSR66628.2025.00068
Detecting and Characterizing Bots that Commit Code.,2020,11,10.1145/3379597.3387478
LAGOON: An Analysis Tool for Open Source Communities.,2022,5,10.1145/3524842.3528504
CoMRAT: Commit Message Rationale Analysis Tool.,2025,5,10.1109/MSR66628.2025.00120
Semantically-enriched Jira Issue Tracking Data.,2023,5,10.1109/MSR59073.2023.00039
Employing Contribution and Quality Metrics for Quantifying the Software Development Process.,2020,5,10.1145/3379597.3387490
Employing Source Code Information to Improve Question-Answering in Stack Overflow.,2015,4,10.1109/MSR.2015.62
Towards mining answer edits to extract evolution patterns in stack overflow.,2019,5,10.1109/MSR.2019.00043
QualBoa: reusability-aware recommendations of source code components.,2016,4,10.1145/2901739.2903492
Introduction to MSR 2006.,2006,2,10.1145/1137983.1137984
Man vs machine: a study into language identification of stack overflow code snippets.,2019,5,10.1109/MSR.2019.00041
HyperAST: Incrementally Mining Large Source Code Repositories.,2025,4,10.1109/MSR66628.2025.00079
Locating bugs without looking back.,2016,5,10.1145/2901739.2901775
An Empirical Study of OSS-Fuzz Bugs.,2021,12,10.1109/MSR52588.2021.00026
FEVER: extracting feature-oriented changes from commits.,2016,12,10.1145/2901739.2901755
A dataset from change history to support evaluation of software maintenance tasks.,2013,4,10.1109/MSR.2013.6624019
Organizational Volatility and Post-release Defects: A Replication Case Study Using Data from Google Chrome.,2015,5,10.1109/MSR.2015.47
Analyzing Vulnerability Overestimation in the Maven Ecosystem.,2025,4,10.1109/MSR66628.2025.00054
Quality Questions Need Quality Code: Classifying Code Fragments on Stack Overflow.,2015,4,10.1109/MSR.2015.51
Whistleblowing and Tech on Twitter.,2023,13,10.1109/MSR59073.2023.00049
Fixing the 'out of sight out of mind' problem: one year of mood-based microblogging in a distributed software team.,2013,10,10.1109/MSR.2013.6624038
Empirical Study of Restarted and Flaky Builds on Travis CI.,2020,11,10.1145/3379597.3387460
Duets: A Dataset of Reproducible Pairs of Java Library-Clients.,2021,5,10.1109/MSR52588.2021.00071
MARIN: A Research-Centric Interface for Querying Software Artifacts on Maven Repositories.,2025,5,10.1109/MSR66628.2025.00093
Popularity and Innovation in Maven Central.,2025,5,10.1109/MSR66628.2025.00061
Word embeddings for the software engineering domain.,2018,4,10.1145/3196398.3196448
Semantic source code models using identifier embeddings.,2019,5,10.1109/MSR.2019.00015
Incivility in Open Source Projects: A Comprehensive Annotated Dataset of Locked GitHub Issue Threads.,2024,5,10.1145/3643991.3644887
Towards Detecting Prompt Knowledge Gaps for Improved LLM-guided Issue Resolution.,2025,13,10.1109/MSR66628.2025.00107
Tracking concept drift of software projects using defect prediction quality.,2009,10,10.1109/MSR.2009.5069480
Revisiting Dockerfiles in Open Source Software Over Time.,2021,11,10.1109/MSR52588.2021.00057
Under the Blueprints: Parsing Unreal Engine's Visual Scripting at Scale.,2025,5,10.1109/MSR66628.2025.00097
Replicating Data Pipelines with GrimoireLab.,2022,3,10.1145/3524842.3528524
Mining source code to automatically split identifiers for software analysis.,2009,10,10.1109/MSR.2009.5069482
